iter	Logloss
0	0.5719187375
1	0.5088004597
2	0.4271366303
3	0.351877628
4	0.2875267409
5	0.2363943659
6	0.2004479842
7	0.1710247441
8	0.1565180453
9	0.1330112089
10	0.1133651325
11	0.09764110163
12	0.08859672127
13	0.07777449078
14	0.0667215325
15	0.06207239966
16	0.0561150989
17	0.05291633481
18	0.04777245148
19	0.04607283335
20	0.0447068111
21	0.04030809551
22	0.03848862823
23	0.03605295219
24	0.0343509212
25	0.03197669385
26	0.030318035
27	0.02907498
28	0.02807361825
29	0.02666618807
30	0.02503143254
31	0.02439751588
32	0.02336343422
33	0.0223128146
34	0.02193457346
35	0.02155511543
36	0.0211704948
37	0.02071711789
38	0.02026446072
39	0.01979013169
40	0.01938304333
41	0.01923347566
42	0.01906912837
43	0.0188097684
44	0.01857007888
45	0.01820495595
46	0.01804155734
47	0.0178446202
48	0.01747749236
49	0.01714665274
50	0.01703678595
51	0.01689345212
52	0.0166262195
53	0.01631854528
54	0.01608399099
55	0.01587657602
56	0.01566490138
57	0.01540899373
58	0.01510897781
59	0.01489519069
60	0.01458617188
61	0.01451366042
62	0.01436108776
63	0.01420220081
64	0.01410730588
65	0.0140020828
66	0.01395311969
67	0.01387000521
68	0.01367444375
69	0.01367155049
70	0.0135581104
71	0.01352562662
72	0.01336000399
73	0.01318719757
74	0.01301738553
75	0.01291223781
76	0.01278408507
77	0.012743566
78	0.01265117721
79	0.0125803079
80	0.01241546895
81	0.01229401011
82	0.01225145229
83	0.01209179501
84	0.01200177356
85	0.01194920911
86	0.01178402277
87	0.0116772671
88	0.01135967004
89	0.01132453258
90	0.01118125125
91	0.01107879992
92	0.01093277139
93	0.01083008447
94	0.01074594265
95	0.01070781127
96	0.01058538284
97	0.01052586917
98	0.01045310008
99	0.01032463705
100	0.01030112666
101	0.01018533023
102	0.01006675117
103	0.01002998675
104	0.009960663614
105	0.00990339174
106	0.009830179124
107	0.009793242094
108	0.00970692901
109	0.009632201539
110	0.009557181245
111	0.00950184691
112	0.009411872987
113	0.009383601145
114	0.009338690709
115	0.00922116074
116	0.009034687239
117	0.009000171803
118	0.008937945848
119	0.008842622795
120	0.008798834774
121	0.008729894641
122	0.008656337904
123	0.008616475322
124	0.008569908733
125	0.008546123964
126	0.008468305578
127	0.008391888953
128	0.00831375086
129	0.008279990389
130	0.008191475842
131	0.008112280665
132	0.008047554396
133	0.008000436995
134	0.007974013959
135	0.007961147948
136	0.007880342487
137	0.007818110316
138	0.007807775068
139	0.007760363255
140	0.007703771482
141	0.007667431496
142	0.007623407238
143	0.007613486967
144	0.007579757377
145	0.007553137608
146	0.007529960973
147	0.007433447154
148	0.007420542755
149	0.00739229496
150	0.007360985567
151	0.007338596044
152	0.007303685707
153	0.007292362778
154	0.007276411574
155	0.00723570313
156	0.007224913163
157	0.007128724238
158	0.007111578536
159	0.007075681145
160	0.007008270691
161	0.00695233473
162	0.006924914327
163	0.006873345105
164	0.006855506773
165	0.006847464388
166	0.006794941552
167	0.00678278069
168	0.006763765289
169	0.006747669244
170	0.006699121734
171	0.006655889019
172	0.006655848689
173	0.006611556693
174	0.00657024057
175	0.006533044658
176	0.006510457114
177	0.006496616785
178	0.006471912283
179	0.006419475106
180	0.006375489318
181	0.006330347167
182	0.00630790167
183	0.006254784245
184	0.006199301445
185	0.006179073335
186	0.00616427765
187	0.006121567366
188	0.006068324242
189	0.006057221571
190	0.00604573772
191	0.006013043338
192	0.006003442642
193	0.006003456225
194	0.005990940916
195	0.005959201767
196	0.005914789695
197	0.005901834926
198	0.005899047789
199	0.005899004154
200	0.005798140224
201	0.005774433556
202	0.005741562848
203	0.005725513575
204	0.005674253581
205	0.005663351799
206	0.005655210937
207	0.005650364293
208	0.005600516203
209	0.005538488099
210	0.00553324571
211	0.005522927142
212	0.005474643256
213	0.005474619766
214	0.005474626415
215	0.005453032778
216	0.005428928858
217	0.005416948595
218	0.005402782029
219	0.005385052227
220	0.005374538291
221	0.005374538291
222	0.005368674759
223	0.005356847731
224	0.005349787082
225	0.005341515861
